Season,TeamName,BoxscoreIndex
2011,Phoenix Suns,201102020PHO
2011,Phoenix Suns,201102040PHO
2011,Phoenix Suns,201102070GSW
2011,Phoenix Suns,201102100PHO
2011,Phoenix Suns,201102110UTA
2011,Phoenix Suns,201102130PHO
2011,Phoenix Suns,201102150PHO
2011,Phoenix Suns,201102170PHO
2011,Phoenix Suns,201102230PHO
2011,Phoenix Suns,201102250TOR
2011,Phoenix Suns,201102270IND
2011,Phoenix Suns,201102280NJN
2011,Phoenix Suns,201103020BOS
2011,Phoenix Suns,201103040MIL
2011,Phoenix Suns,201103060OKC
2011,Phoenix Suns,201103080PHO
2011,Phoenix Suns,201103100PHO
2011,Phoenix Suns,201103130PHO
2011,Phoenix Suns,201103140HOU
2011,Phoenix Suns,201103160NOH
2011,Phoenix Suns,201103180PHO
2011,Phoenix Suns,201103200LAC
2011,Phoenix Suns,201103220LAL
2011,Phoenix Suns,201103230PHO
2011,Phoenix Suns,201103250PHO
2011,Phoenix Suns,201103270PHO
2011,Phoenix Suns,201103290SAC
2011,Phoenix Suns,201103300PHO
2011,Phoenix Suns,201104010PHO
2011,Phoenix Suns,201104030SAS
2011,Phoenix Suns,201104050CHI
2011,Phoenix Suns,201104060MIN
2011,Phoenix Suns,201104080NOH
2011,Phoenix Suns,201104100DAL
2011,Phoenix Suns,201104110PHO
2011,Phoenix Suns,201104130PHO
2011,Oklahoma City Thunder,201010270OKC
2011,Oklahoma City Thunder,201010290DET
2011,Oklahoma City Thunder,201010310OKC
2011,Oklahoma City Thunder,201011030LAC
2011,Oklahoma City Thunder,201011040POR
2011,Oklahoma City Thunder,201011070OKC
2011,Oklahoma City Thunder,201011100OKC
2011,Oklahoma City Thunder,201011120OKC
2011,Oklahoma City Thunder,201011140OKC
2011,Oklahoma City Thunder,201011150UTA
2011,Oklahoma City Thunder,201011170OKC
2011,Oklahoma City Thunder,201011190BOS
2011,Oklahoma City Thunder,201011200MIL
2011,Oklahoma City Thunder,201011220OKC
2011,Oklahoma City Thunder,201011240OKC
2011,Oklahoma City Thunder,201011260IND
2011,Oklahoma City Thunder,201011280HOU
2011,Oklahoma City Thunder,201011290OKC
2011,Oklahoma City Thunder,201012010NJN
2011,Oklahoma City Thunder,201012030TOR
2011,Oklahoma City Thunder,201012050OKC
2011,Oklahoma City Thunder,201012060CHI
2011,Oklahoma City Thunder,201012080MIN
2011,Oklahoma City Thunder,201012100NOH
2011,Oklahoma City Thunder,201012120OKC
2011,Oklahoma City Thunder,201012150OKC
2011,Oklahoma City Thunder,201012170OKC
2011,Oklahoma City Thunder,201012190OKC
2011,Oklahoma City Thunder,201012210CHA
2011,Oklahoma City Thunder,201012220NYK
2011,Oklahoma City Thunder,201012250OKC
2011,Oklahoma City Thunder,201012270OKC
2011,Oklahoma City Thunder,201012290OKC
2011,Oklahoma City Thunder,201012310OKC
2011,Oklahoma City Thunder,201101010SAS
2011,Oklahoma City Thunder,201101040MEM
2011,Oklahoma City Thunder,201101060DAL
2011,Oklahoma City Thunder,201101080OKC
2011,Oklahoma City Thunder,201101120HOU
2011,Oklahoma City Thunder,201101130OKC
2011,Oklahoma City Thunder,201101170LAL
2011,Oklahoma City Thunder,201101190DEN
2011,Oklahoma City Thunder,201101220OKC
2011,Oklahoma City Thunder,201101240NOH
2011,Oklahoma City Thunder,201101260MIN
2011,Oklahoma City Thunder,201101280OKC
2011,Oklahoma City Thunder,201101300OKC
2011,Oklahoma City Thunder,201102020OKC
2011,Oklahoma City Thunder,201102040PHO
2011,Oklahoma City Thunder,201102050UTA
2011,Oklahoma City Thunder,201102080OKC
2011,Oklahoma City Thunder,201102120SAC
2011,Oklahoma City Thunder,201102130GSW
2011,Oklahoma City Thunder,201102150OKC
2011,Oklahoma City Thunder,201102220OKC
2011,Oklahoma City Thunder,201102230SAS
2011,Oklahoma City Thunder,201102250ORL
